TreeID,Species,Site_X,Site_Y,Tree_x,Tree_y,Coordinate System/Datum
H1#3,B. Fir,712383.84,5090521.32,712379.95,5090521.15,
H2#1,R. Maple,712358.78,5090520.46,712358.53,5090523.45,
H2#2,W. Birch,712358.78,5090520.46,712357.08,5090519.22,
H2#3,B. Fir,712358.78,5090520.46,712358.59,5090520.23,
H3#1,R. Maple,712308.66,5090518.73,712308.80,5090515.14,
H3#2,R. Pine,712308.66,5090518.73,712305.64,5090516.96,
H3#3,B. Fir,712308.66,5090518.73,712307.59,5090519.47,
H4#1,R. Pine,712208.42,5090515.29,712208.30,5090512.29,
H4#2,S. Maple,712208.42,5090515.29,712209.40,5090516.28,
H4#3,Aspen,712208.42,5090515.29,712211.29,5090512.96,
H5#1,R. Maple,712183.36,5090514.43,712184.11,5090512.04,
H5#2,R. Pine,712183.36,5090514.43,712185.12,5090513.48,
H5#3,R. Maple,712183.36,5090514.43,712182.36,5090519.84,
H6#1,R. Pine,712133.23,5090512.71,712132.27,5090511.69,
H6#2,Aspen,712133.23,5090512.71,712138.75,5090510.09,
H6#3,R. Maple,712133.23,5090512.71,712127.24,5090515.48,
H7#1,Aspen,712032.99,5090509.26,712030.41,5090508.97,
H7#2,B. Fir,712032.99,5090509.26,712031.96,5090506.34,
H7#3,R. Maple,712032.99,5090509.26,712038.07,5090509.71,
H8#1,R. Maple,712007.93,5090508.40,712007.70,5090502.61,
H8#2,R. Maple,712007.93,5090508.40,712009.18,5090505.68,
H8#3,Aspen,712007.93,5090508.40,712010.21,5090506.62,
H9#1,B. Fir,711957.81,5090506.68,711964.91,5090507.89,
H9#2,Aspen,711957.81,5090506.68,711958.15,5090504.92,
H9#3,R. Maple,711957.81,5090506.68,711961.61,5090508.69,
H10#1,Aspen,711857.57,5090503.24,711865.96,5090505.13,
H10#2,Aspen,711857.57,5090503.24,711865.95,5090506.51,
H10#3,Aspen,711857.57,5090503.24,711862.73,5090507.36,
H11#1,Aspen,711832.51,5090502.38,711833.20,5090503.11,
H11#2,Aspen,711832.51,5090502.38,711830.53,5090505.86,
H11#3,Aspen,711832.51,5090502.38,711839.19,5090502.86,
H12#1,B. Fir,711782.38,5090500.67,711782.77,5090500.55,
H12#2,W. Birch,711782.38,5090500.67,711782.85,5090506.15,
H12#3,Aspen,711782.38,5090500.67,711784.48,5090498.24,
I1#1,Blk. Ash,712385.56,5090471.36,712381.65,5090467.07,
I1#2,R. Maple,712385.56,5090471.36,712389.19,5090476.51,
I1#3,Blk. Ash,712385.56,5090471.36,712377.40,5090474.38,
I2#1,R. Maple,712360.50,5090470.50,712359.92,5090466.04,
I2#2,R. Maple,712360.50,5090470.50,712361.54,5090471.71,
I2#3,B. Fir,712360.50,5090470.50,712361.39,5090472.94,
I3#1,Aspen,712310.38,5090468.78,712313.27,5090467.99,
I3#2,R. Maple,712310.38,5090468.78,712313.41,5090462.58,
I3#3,R. Maple,712310.38,5090468.78,712312.10,5090476.59,
I4#1,S. Maple,712210.13,5090465.33,712210.73,5090465.30,
I4#2,R. Pine,712210.13,5090465.33,712210.75,5090462.40,
I4#3,R. Pine,712210.13,5090465.33,712208.13,5090466.24,
I5#1,R. Maple,712185.07,5090464.47,712182.19,5090465.87,
I5#2,R. Maple,712185.07,5090464.47,712185.32,5090469.47,
I5#3,R. Pine,712185.07,5090464.47,712185.96,5090473.13,
I6#1,R. Maple,712134.95,5090462.75,712137.82,5090463.18,
I6#2,Aspen,712134.95,5090462.75,712137.80,5090463.69,
I6#3,Aspen,712134.95,5090462.75,712135.08,5090466.95,
I7#1,Aspen,712034.71,5090459.31,712033.55,5090459.90,
I7#2,Aspen,712034.71,5090459.31,712035.08,5090461.98,
I7#3,Aspen,712034.71,5090459.31,712030.29,5090458.02,
I8#1,Aspen,712009.65,5090458.45,712009.47,5090458.20,
I8#2,Aspen,712009.65,5090458.45,712010.80,5090455.36,
I8#3,B. Fir,712009.65,5090458.45,712013.58,5090455.37,
I9#1,Aspen,711959.52,5090456.73,711959.16,5090456.25,
I9#2,Aspen,711959.52,5090456.73,711958.60,5090456.14,
I9#3,B. Fir,711959.52,5090456.73,711959.78,5090454.44,
I10#1,Aspen,711859.28,5090453.29,711861.85,5090453.68,
I10#2,Aspen,711859.28,5090453.29,711860.05,5090452.82,
I10#3,Y. Birch,711859.28,5090453.29,711859.14,5090455.38,
I11#1,W. Birch,711834.22,5090452.43,711832.84,5090453.02,
I11#2,Blk. Ash,711834.22,5090452.43,711840.52,5090452.43,
I11#3,B. Fir,711834.22,5090452.43,711832.35,5090453.59,
I12#1,W. Birch,711784.10,5090450.71,711785.53,5090450.00,
I12#2,Blk. Ash,711784.10,5090450.71,711783.31,5090454.63,
I12#3,Blk. Ash,711784.10,5090450.71,711787.42,5090451.81,
J1#1,B. Fir,712388.99,5090371.45,712391.43,5090372.35,
J1#2,B. Fir,712388.99,5090371.45,712389.80,5090373.06,
J1#3,B. Aspen,712388.99,5090371.45,712389.73,5090372.27,
J2#1,Aspen,712363.93,5090370.59,712367.37,5090371.66,
J2#2,B. Aspen,712363.93,5090370.59,712364.07,5090370.32,
J2#3,B. Fir,712363.93,5090370.59,712361.62,5090369.39,
J3#1,Aspen,712313.81,5090368.87,712311.47,5090365.62,
J3#2,B. Fir,712313.81,5090368.87,712316.87,5090372.17,
J3#3,R. Maple,712313.81,5090368.87,712313.48,5090371.24,
J4#1,R. Pine,712213.57,5090365.42,712210.10,5090362.71,
J4#2,R. Pine,712213.57,5090365.42,712215.38,5090365.99,
J4#3,R. Maple,712213.57,5090365.42,712213.05,5090367.56,
J5#1,B. Fir,712188.50,5090364.56,712186.55,5090362.42,
J5#2,R. Pine,712188.50,5090364.56,712193.67,5090362.39,
J5#3,R. Maple,712188.50,5090364.56,712188.09,5090364.99,
J6#1,Y. Birch,712138.38,5090362.84,712145.04,5090365.30,
J6#2,S. Alder,712138.38,5090362.84,712140.36,5090363.80,
J6#3,B. Fir,712138.38,5090362.84,712139.03,5090364.19,
J7#1,S. Alder,712038.14,5090359.40,712037.32,5090360.89,
J7#2,S. Alder,712038.14,5090359.40,712035.17,5090357.73,
J7#3,B. Fir,712038.14,5090359.40,712034.55,5090360.94,
J8#1,S. Alder,712013.07,5090358.54,712014.17,5090358.53,
J8#2,S. Alder,712013.07,5090358.54,712013.67,5090359.34,
J8#3,B. Fir,712013.07,5090358.54,712015.27,5090358.73,
J9#1,Aspen,711962.95,5090356.82,711959.68,5090354.70,
J9#2,R. Maple,711962.95,5090356.82,711966.25,5090356.93,
J9#3,Aspen,711962.95,5090356.82,711963.98,5090357.20,
J10#1,Aspen,711862.71,5090353.38,711866.44,5090352.26,
J10#2,S. Maple,711862.71,5090353.38,711867.93,5090354.27,
J10#3,W. Birch,711862.71,5090353.38,711860.07,5090358.21,
J11#1,R. Maple,711837.64,5090352.52,711838.85,5090349.13,
J11#2,R. Maple,711837.64,5090352.52,711839.80,5090348.12,
J11#3,B. Fir,711837.64,5090352.52,711837.44,5090352.74,
J12#1,Y. Birch,711787.52,5090350.80,711787.04,5090344.42,
J12#2,B. Fir,711787.52,5090350.80,711788.06,5090358.88,
J12#3,Y. Birch,711787.52,5090350.80,711781.64,5090356.51,
K1#1,R. Maple,712389.85,5090346.47,712390.74,5090342.27,
K1#2,Aspen,712389.85,5090346.47,712395.39,5090348.52,
K1#3,B. Fir,712389.85,5090346.47,712386.67,5090348.16,
K2#1,R. Maple,712364.79,5090345.61,712359.64,5090346.87,
K2#2,Y. Birch,712364.79,5090345.61,712368.28,5090345.86,
K2#3,R. Maple,712364.79,5090345.61,712367.06,5090345.21,
K3#1,R. Maple,712314.67,5090343.89,712315.46,5090343.99,
K3#2,B. Fir,712314.67,5090343.89,712315.18,5090341.65,
K3#3,R. Maple,712314.67,5090343.89,712310.62,5090341.51,
K4#1,R. Pine,712214.42,5090340.44,712215.64,5090341.32,
K4#2,R. Pine,712214.42,5090340.44,712214.46,5090343.44,
K4#3,S. Maple,712214.42,5090340.44,712217.68,5090343.83,
K5#1,R. Pine,712189.36,5090339.58,712186.86,5090334.24,
K5#2,R. Maple,712189.36,5090339.58,712187.90,5090336.85,
K5#3,R. Pine,712189.36,5090339.58,712191.69,5090339.00,
K6#1,B. Fir,712139.24,5090337.86,712140.63,5090338.04,
K6#2,Aspen,712139.24,5090337.86,712137.94,5090333.97,
K6#3,S. Alder,712139.24,5090337.86,712139.39,5090341.06,
K7#1,S. Alder,712038.99,5090334.42,712039.91,5090335.97,
K7#2,S. Alder,712038.99,5090334.42,712040.68,5090335.67,
